text,label
"سرکار خانم کرباسی دنیا با وجود انسان‌هایی چون شما زیبا است به همت و تلاش‌های بی‌ریا شما و همکاران‌تان تبریک می‌گویم و آرزوی سلامتی و شادکامی از پروردگار برایتان خواستارم خدا قوت
",1
"نظراتتونستی از طویله دربیای یکم برو پیش ادما به شعورت اضافه کن
",0
"بله دوست عزیز همیشه فرصت هست
",1
"یکی از باباهاتو اینجا نگه داشتم ولش کنم فرار میکنه ، تورو پیدا کنم بندازم بغل این بلکه این ممکلت از دست خرایی عین تو و امثالهم یکم نفس بکشن
",0
"نرگس عزیزدل ؛ چگونه می‌توان بیان کرد ذره‌ای از لطف شما و چگونه می‌توان قدردان‌بود این همه بزرگ منشی و درایت و مهربانی و دریا دلی شما را صمیمانه دوستتان دارم و دیگر هیچ مردم بخوبی بیان می‌کنند خوبی شما را فرشته‌ی بی‌همتا و بانوی نازنین ‌ نقاشی هم اصلا و ابدااا قابل شما را ندارد از عشقم کشیدم نسبت به شما و برای تشکر ناچیزی از وجودتان
",1
"با بابات درست صحبت کن بچه جون تو اخه چی حالیته ور ور میکنی فیکی
",0
"خیلی جالبه ، کسی که معتقد باشه هیج ابایی از پرسیدن این سوال نداره هر چی هم امثال شما بیشتر گارد بگیرن میفهمم که سوالم هیچ ایرادی نداره ، هر چند بازم میگم نرگس عزیز میتونه جواب نده و کاملا مختاره
",1
"برو عصرونتو بخور کم گوه مردمو بخور بدبخت
",0
"من بخودم افتخارمیکنم که شمایک فرده ایرانی هستی افرین
",1
"یعنی حسن روحانی چنان گندی بالا آورده ک یه سری فیک دوزاری عین تو ک سرت به یه اخوری وصله فقط باید بیان براش چهارتا کامنت خوب بزارن ، حرفم ک ندارین بزنین ، فقط همون چرت و پرتای همیشگی ، یه عمل‌کرد مثبت نداره این مردک و کابینه وا رفتش
",0
"عزیزم
",1
"دکمتو بزن گمشو بیشعور
",0
"هیچی نمیتونم بگم ، جز اینکه خدا خیرت بده
",1
"به فکر زندها باش این زندها اه نفرینشون پشتتونه
",0
"کدوم مرد عزیزم زنه زن باید گفت زن تویی
",1
"یروزی تقاص جنایت‌هایی ک کردیو باید بدی البته اگ اون دنیایی باشه
",0
"مهربون
",1
"این روند همینجوری پیش بره انشاالله ظهورمنجی دنیا حتمیه خداوندجای حق نشسته وبهترین تصمیم برای بنده‌های خوبش میگیره ک الان خوبان ضعیفان هستندک وارثان زمین‌اند ،،،، این وعده خداست
",0
"خسته نباشی عزیزم
",1
"روحانی الروانی
",0
"عزیزم ، نرگس جونم ، غصه نخور ، به هموطنان عزیزمون هم بگو غصه نخورن ، وضع مالی اکثر مردم خوب نیست ، ولی قول میدیم تا جاییکه بتونیم کمک کنیم
",1
"روحانی داره در جلسه هیئت عررررر میزنه که علی اکبر به حسین گفت : العطش قد قتلنی « بی‌آبی منو میکشه » این حرفو کسی میزنه که مردم آبادان و خرمشهر در دولتش به خاطر بی‌آبی گلوله‌ی ساچمه‌ای خوردند
",0
"خانم کلباسی عزیز ، خواهش می‌کنم ، کامنت منو جواب بدهید ، من زمان زلزله کمی کمکهای غیرنقدی جمع کردم ، اما آن زمان بخاطر خبرهای بد زلزله خودم بیمار شدم و بیمارستان بستری شدم ، بعد از آن هم دیگر کمکهای غیر نقدی روی دستم ماند و جایی نبود که بدست آن‌ها برسانم ، حالا شما که در منطقه هستید میشه به من بگید اصولا به کمک‌ها نیازی هست یا نه ، یا من کجا تحویل بدهم در ضمن من اصفهان هستم بی‌نهایت سپاسگزارم
",1
"چی میده بهت
",0
"میگن مقام انسان‌ها از فرشته‌ها هم بالاتر‌ه همه رو که منظورشون نیست امثال نرگس رو منظورشونه افتخار و الگو هر ایرانی
",1
"حرص نخورید به اینا میگن پولدارهای بی‌دغدغه
",0
"روز دختر مبارک عزیزم
",1
"تو چه اوسگولی هستی که هنوز منتظری بحران تموم بشه بشین تا درست بشه
",0
"نرگس جان کاری که انجام میدی میراثی حقیقی برای آیندگانه امیدوارم این حرکت زیبا برای همه‌ی استان‌های ایران مخصوصا استان‌های شرقی کشور هم انجام بشه و ما هم بتونیم سهم کوچکی داشته
",1
"ادامه بده محکم‌تر بمال
",0
"اشکم درومد مهربونی همیشه و همه جا قشنگه
",1
"اخوند چه میفهمه اختراع چیه اخه اصن تکنولوژی رو درک نمیکنن چار تا نوحه یاد میگرفتی به جا اختراعاتت الان بنز سوار بودی
",0
"عزیزم زنده و خوشبخت و موفق باشه ناز نازی ماشائالله
",1
"مشکل از این بیناموس نیست مشکل از بیناموسای ریشه ایه
",0
"هرروزیک آیه ومن احسن قولا ممن دعا الی الله وعمل صالحا وقال اننی من المسلمین و کیست خوش گفتارتر از آن کس که به سوی خدا دعوت نماید و کار نیک کند و گوید من در برابر خدا از تسلیم شدگانم () سوره مبارکه فصلت آیه
",1
"مگه‌داری جوجه چهل پدرحاصل زنا
",0
